song,artist,date,votes,ratings,views,favorites,comments,contributors,acoustic,tonality,capo,chords
Wonderwall,Oasis,1037232000,5726,4.81502,12460942,237506,216,6,0,F#m,2,"Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Cadd9,Dsus,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,C,D,Em,C,D,Em,C,D,G5,G5/F#,G5,A7sus4,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,Em7,G,Dsus4,A7sus4,C,D,Em,C,D,Em,C,D,G5,G5/F#,G5,A7sus4,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7,Cadd9,Em7,G,Em7"
Love Yourself,Justin Bieber,1447081392,8160,4.84736,12282253,231923,170,5,0,E,4,"C,Am,Dm,C,C,Am,Dm,C,C,Am,Dm,C,C,Am,Dm,C,Am,F,C,Am,F,C,Am,F,C,G,Am,F,G,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,Am,Dm,C,C,Am,Dm,C,C,Am,Dm,C,C,Am,Dm,C,Am,F,C,Am,F,C,Am,F,C,G,Am,F,G,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,Am,Dm,C,C,Am,Dm,C,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C,C,G,Am,F,C,G,C"
Wish You Were Here,Pink Floyd,1043798400,10353,4.8146,11771628,219294,164,10,0,Em,0,"Em7,G,Em7,G,Em7,A7sus4,Em7,A7sus4,G,C,D/F#,G,D/F#,C,Am,G,C,D/F#,G,D/F#,C,Am,G,Em7,G,Em7,G,Em7,A7sus4,Em7,A7sus4,G,C,D/F#,G,D/F#,C,Am,G,Em7,G,Em7,G,Em7,A7sus4,Em7,A7sus4,G"
Photograph,Ed Sheeran,1402833937,10175,4.85429,11623596,223913,186,12,0,E,2,"D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,Bm,G,D,A,Bm,G,D,A,D,A,Bm,G,D,D,Bm,A,G,D,Bm,A,G,Bm,G,D,A,Bm,G,D,A,D,A,Bm,G,D,A,Bm,G,Bm,G,D,A,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D"
Riptide,Vance Joy,1365552001,12180,4.8799,11483564,277832,264,14,0,Am,1,"Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Fmaj7,Am,G,C,Fmaj7,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C,Am,G,C"
Hey Soul Sister,Train,1256169601,5397,4.8275,11007969,179757,181,8,0,C,4,"C,G,Am,F,C,G,Am,F,C,G,Am,F,G,C,G,Am,F,C,G,Am,F,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,C,G,Am,F,C,G,Am,F,C,G,Am,F,G,C,G,Am,F,C,G,Am,F,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,C,C,G,Am,F,C,G,Am,F,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,F,G,C,G,F,G,C,G,Am,F,G,C,G,Am,F,G,C"
Creep,Radiohead,1004486400,9740,4.84628,10488603,125295,113,14,0,G,0,"G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G"
Dont Look Back In Anger,Oasis,1004486400,7211,4.86244,10079992,68167,139,13,0,C,0,"C,F,C,F,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,Fm,C,G,E/G#,Am,G,F,G,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,F,Fm,C,G,Am,E,F,Fm,C"
I See Fire,Ed Sheeran,1383868801,7730,4.86954,9942395,191014,219,13,0,Bbm,6,"Em,Em,G,D,C,Em,G,D,Am7,Em,G,D,C,Am7,C,Em,G,D,C,Em,G,D,Am7,Em,G,D,C,Am7,C,Am7,C,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Am7,Em,G,D,C,Em,G,D,Am7,Em,G,D,C,Am7,C,Am7,C,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Am7,Am7,Am7,Em,G,D,Am7,Em,G,D,Am7,Em,G,D,Am7,C,D,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em,Em,C,D,Em"
Iris,Goo Goo Dolls,1056499200,2900,4.69976,9914573,154867,159,8,0,Bm,0,"A,Bm,G,F#m,Bm,Bsus2,G,D,Em,G,Bm,A,G,D,Em,G,Bm,A,G,D,Em,G,Bm,A,G,D,Em,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,D,Em,G,Bm,A,G,D,Em,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,D,D,Bm,G,G,Bm,D,D,Bm,G,G,Bm,Bsus2,G,G,Bm,Bsus2,G,G,Bm,Bsus2,G,G,Bm,Bsus2,G,F#m,G,Bm,G,F#m,Bm,Bm,G,F#m,Bm,Bm,Bm,G,G,Bm,G,G,Bm,G,G,Bm,G,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,G,Bm,A,Bm,Bm,G,G,Bm,G,G,Bm,G,G,Bm,G,G"
The Only Exception,Paramore,1253577601,5532,4.89217,9903930,128754,186,8,0,B,4,"G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,Am,G,D,Am,G,D,Am,G,D,Am,G,D,C,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,G,Dm,Cmaj7,F,C,G,F,C,G"
